step,sense_time,move_time,deposit_time,diffusion_time
79,5.507469177246094e-05,9.5367431640625e-07,1.1920928955078125e-06,0.0010991096496582031
80,3.719329833984375e-05,1.1920928955078125e-06,1.1920928955078125e-06,0.0012738704681396484
81,4.1961669921875e-05,9.5367431640625e-07,1.9073486328125e-06,0.001302957534790039
82,3.600120544433594e-05,9.5367431640625e-07,9.5367431640625e-07,0.0013089179992675781
83,3.0994415283203125e-05,9.5367431640625e-07,1.9073486328125e-06,0.0014226436614990234
84,3.314018249511719e-05,9.5367431640625e-07,1.1920928955078125e-06,0.0012700557708740234
85,3.0279159545898438e-05,9.5367431640625e-07,9.5367431640625e-07,0.001371145248413086
86,4.100799560546875e-05,9.5367431640625e-07,9.5367431640625e-07,0.0014421939849853516
87,3.886222839355469e-05,9.5367431640625e-07,9.5367431640625e-07,0.0013952255249023438
88,3.600120544433594e-05,0.0,1.1920928955078125e-06,0.0013728141784667969
89,3.3855438232421875e-05,0.0,9.5367431640625e-07,0.0013172626495361328
90,3.1948089599609375e-05,9.5367431640625e-07,9.5367431640625e-07,0.0014338493347167969
91,3.6716461181640625e-05,0.0,9.5367431640625e-07,0.0013720989227294922
92,3.814697265625e-05,9.5367431640625e-07,9.5367431640625e-07,0.0013110637664794922
93,4.410743713378906e-05,0.0,9.5367431640625e-07,0.0013358592987060547
94,3.600120544433594e-05,0.0,1.1920928955078125e-06,0.001249074935913086
95,3.62396240234375e-05,0.0,1.9073486328125e-06,0.0014557838439941406
96,3.3855438232421875e-05,9.5367431640625e-07,1.9073486328125e-06,0.0014071464538574219
97,5.507469177246094e-05,0.0,3.0994415283203125e-06,0.0015249252319335938
98,3.910064697265625e-05,0.0,7.152557373046875e-07,0.0014760494232177734
99,3.504753112792969e-05,9.5367431640625e-07,1.9073486328125e-06,0.0014638900756835938
100,4.887580871582031e-05,9.5367431640625e-07,2.1457672119140625e-06,0.0015439987182617188
101,4.1961669921875e-05,0.0,1.1920928955078125e-06,0.0013689994812011719
102,3.719329833984375e-05,0.0,9.5367431640625e-07,0.0014519691467285156
103,3.3855438232421875e-05,0.0,9.5367431640625e-07,0.0015871524810791016
104,3.504753112792969e-05,1.1920928955078125e-06,2.1457672119140625e-06,0.0014379024505615234
105,3.62396240234375e-05,1.1920928955078125e-06,1.6689300537109375e-06,0.0014009475708007812
106,4.00543212890625e-05,9.5367431640625e-07,7.152557373046875e-07,0.0013670921325683594
107,3.5762786865234375e-05,9.5367431640625e-07,9.5367431640625e-07,0.001653909683227539
108,3.5762786865234375e-05,9.5367431640625e-07,9.5367431640625e-07,0.0018088817596435547
109,4.220008850097656e-05,9.5367431640625e-07,2.1457672119140625e-06,0.0015649795532226562
110,3.695487976074219e-05,9.5367431640625e-07,9.5367431640625e-07,0.001641988754272461
111,4.100799560546875e-05,0.0,2.1457672119140625e-06,0.0015010833740234375
112,3.886222839355469e-05,1.1920928955078125e-06,9.5367431640625e-07,0.0015277862548828125
113,6.008148193359375e-05,9.5367431640625e-07,9.5367431640625e-07,0.0017108917236328125
114,4.315376281738281e-05,0.0,2.1457672119140625e-06,0.0017042160034179688
115,4.887580871582031e-05,1.1920928955078125e-06,2.86102294921875e-06,0.0014600753784179688
116,4.124641418457031e-05,1.1920928955078125e-06,2.1457672119140625e-06,0.0015559196472167969
117,3.910064697265625e-05,9.5367431640625e-07,2.1457672119140625e-06,0.0015721321105957031
118,4.291534423828125e-05,9.5367431640625e-07,2.1457672119140625e-06,0.0016100406646728516
119,3.886222839355469e-05,9.5367431640625e-07,2.1457672119140625e-06,0.0016360282897949219
120,3.814697265625e-05,0.0,1.9073486328125e-06,0.0015499591827392578
121,4.100799560546875e-05,0.0,2.1457672119140625e-06,0.0015528202056884766
122,3.5762786865234375e-05,0.0,9.5367431640625e-07,0.0023140907287597656
123,4.601478576660156e-05,9.5367431640625e-07,2.1457672119140625e-06,0.001329183578491211
124,3.528594970703125e-05,1.1920928955078125e-06,9.5367431640625e-07,0.001493692398071289
125,4.506111145019531e-05,0.0,2.1457672119140625e-06,0.0014178752899169922
126,3.886222839355469e-05,9.5367431640625e-07,2.1457672119140625e-06,0.001463174819946289
127,4.00543212890625e-05,0.0,1.6689300537109375e-06,0.0017859935760498047
128,3.886222839355469e-05,0.0,9.5367431640625e-07,0.0014789104461669922
129,4.291534423828125e-05,9.5367431640625e-07,1.9073486328125e-06,0.0015151500701904297
130,4.00543212890625e-05,7.152557373046875e-07,1.9073486328125e-06,0.001619100570678711
131,3.790855407714844e-05,0.0,9.5367431640625e-07,0.0017349720001220703
132,3.814697265625e-05,1.1920928955078125e-06,9.5367431640625e-07,0.0015859603881835938
133,4.100799560546875e-05,9.5367431640625e-07,9.5367431640625e-07,0.001462697982788086
134,3.886222839355469e-05,0.0,1.9073486328125e-06,0.001689910888671875
135,3.814697265625e-05,1.1920928955078125e-06,2.1457672119140625e-06,0.0014500617980957031
136,3.886222839355469e-05,0.0,9.5367431640625e-07,0.0014691352844238281
137,4.100799560546875e-05,1.1920928955078125e-06,2.1457672119140625e-06,0.001628875732421875
138,4.00543212890625e-05,1.1920928955078125e-06,1.9073486328125e-06,0.0015320777893066406
139,3.814697265625e-05,0.0,9.5367431640625e-07,0.0016298294067382812
140,3.5762786865234375e-05,0.0,2.1457672119140625e-06,0.0015931129455566406
141,3.981590270996094e-05,9.5367431640625e-07,1.9073486328125e-06,0.001544952392578125
142,3.814697265625e-05,0.0,7.152557373046875e-07,0.0014581680297851562
143,3.910064697265625e-05,0.0,2.1457672119140625e-06,0.0015790462493896484
144,3.600120544433594e-05,9.5367431640625e-07,2.1457672119140625e-06,0.0014851093292236328
145,3.719329833984375e-05,0.0,1.6689300537109375e-06,0.0016183853149414062
146,3.6716461181640625e-05,9.5367431640625e-07,2.1457672119140625e-06,0.0013780593872070312
147,3.409385681152344e-05,9.5367431640625e-07,1.9073486328125e-06,0.0015039443969726562
148,3.719329833984375e-05,0.0,2.1457672119140625e-06,0.0014922618865966797
149,3.910064697265625e-05,0.0,9.5367431640625e-07,0.0015749931335449219
150,4.00543212890625e-05,0.0,1.1920928955078125e-06,0.001741170883178711
151,3.790855407714844e-05,1.1920928955078125e-06,2.1457672119140625e-06,0.0016520023345947266
152,3.600120544433594e-05,9.5367431640625e-07,9.5367431640625e-07,0.0014531612396240234
153,3.790855407714844e-05,9.5367431640625e-07,1.1920928955078125e-06,0.0015130043029785156
154,3.910064697265625e-05,9.5367431640625e-07,1.9073486328125e-06,0.0014529228210449219
155,3.790855407714844e-05,0.0,1.6689300537109375e-06,0.0015780925750732422
156,4.291534423828125e-05,0.0,1.9073486328125e-06,0.0015230178833007812
157,3.814697265625e-05,9.5367431640625e-07,9.5367431640625e-07,0.0015759468078613281
158,3.62396240234375e-05,1.1920928955078125e-06,9.5367431640625e-07,0.0015091896057128906
